buggy_B2,buggy_AG,buggy_MA,buggy_RA,ns,nd,nf,entropy,la,ld,lt,fix,ndev,age,nuc,exp,rexp,sexp
buggy,clean,buggy,buggy,2,6,11,2.66713,124,79,118.55,1,2,9.81,1.45,76,64.1,55
buggy,buggy,buggy,buggy,1,10,29,3.75963,367,398,158.21,0,2,39.17,1.03,84,65.52,80
clean,clean,clean,clean,1,4,4,1.67071,12,11,187.25,0,2,10.22,3.75,85,66.36,81
clean,clean,clean,clean,1,1,1,0,9,4,254,0,1,31.8,9,86,66.96,82
clean,clean,clean,clean,1,4,4,1.44861,76,59,209.5,0,3,14.15,4.75,87,67.95,83
clean,clean,clean,clean,1,1,1,0,1,1,71,0,1,4.02,1,5,4.31,4
clean,clean,clean,clean,2,3,7,1.58496,6,6,108,0,3,37.43,4.29,88,68.78,93
clean,clean,clean,clean,1,2,9,2.95747,386,175,169.89,0,2,32.19,0.78,77,61.85,30
clean,clean,clean,clean,1,2,3,1.15305,85,25,316.33,0,1,163.56,3.33,89,66.84,85
clean,clean,clean,clean,1,1,1,0,2,2,127,1,1,0,3,90,67.84,86
clean,clean,clean,clean,1,1,1,0,2,2,127,1,1,0,4,91,68.84,87
buggy,clean,clean,clean,1,2,2,0.902393,132,0,0,0,0,0,0,93,67.05,89
clean,clean,clean,clean,2,4,10,2.69453,512,19,60,0,4,4.49,2,94,67.43,101
clean,clean,clean,clean,1,1,6,2.01243,108,17,69,0,1,0.52,0.17,95,68.35,12
clean,clean,clean,clean,1,2,6,2.20637,270,0,0,0,0,0,0,96,69.04,13
clean,clean,clean,clean,1,1,1,0,4,5,82,0,1,0.67,1,97,69.95,14
clean,clean,clean,clean,2,5,7,2.25928,858,2,51.29,0,2,1.26,2.29,98,70.61,106
clean,clean,clean,clean,1,5,7,2.74894,4,13,162.57,0,2,17.73,1.86,99,71.51,92
clean,clean,clean,clean,2,11,18,3.36423,57,66,213.22,0,5,17.16,2.67,100,72.5,109
clean,clean,clean,clean,1,1,1,0,2,2,256,0,1,3.84,1,6,4.6,5
