buggy_B2,buggy_AG,buggy_MA,buggy_RA,ns,nd,nf,entropy,la,ld,lt,fix,ndev,age,nuc,exp,rexp,sexp
clean,clean,clean,clean,2,6,15,2.33497,184,227,598.4,1,6,20.05,1.87,3,2.87,3
buggy,buggy,buggy,buggy,3,4,4,1.38286,43,21,415.25,1,7,55.42,34.25,32,27.63,79
clean,buggy,buggy,clean,3,3,3,1.16609,22,12,441,1,7,51.78,46.67,33,28.62,82
clean,clean,clean,clean,1,5,19,2.75655,461,232,545.68,0,2,9.1,0.26,4,3.84,4
clean,clean,clean,clean,1,2,7,2.64081,1131,0,0,0,0,0,0,5,4.84,5
clean,clean,clean,clean,1,3,3,1.04095,45,14,66.33,1,3,94.83,2,94,74.88,3
clean,clean,clean,clean,1,3,3,0.967298,44,14,66.33,1,3,95.04,2,95,75.84,4
clean,clean,clean,clean,2,2,3,0.699858,43,1,605,0,8,2.76,48,96,76.72,94
clean,clean,clean,clean,2,2,2,0.881291,10,0,577,0,7,47.67,70,39,28.33,56
clean,clean,clean,clean,1,1,1,0,2,0,875,0,7,0.91,141,97,77.51,69
clean,clean,clean,clean,1,1,1,0,34,0,38,0,1,1.22,1,98,78.51,27
buggy,buggy,buggy,buggy,2,2,2,0.291818,29,10,552.5,0,7,4.44,71,34,29.26,64
clean,clean,clean,clean,1,1,2,0.485461,16,3,913,0,8,0.62,74,35,30.26,33
clean,clean,clean,clean,1,1,2,0.309543,15,3,884.5,0,7,14.99,65,36,31.26,34
clean,clean,clean,clean,1,1,1,0,1,1,62,0,2,28.18,4,99,79.49,70
clean,clean,clean,clean,3,3,3,0.734993,40,1,648.67,1,7,46.57,48.33,37,32.25,89
clean,clean,clean,clean,1,1,1,0,1,1,589,1,5,0.11,5,38,33.24,34
clean,clean,clean,clean,3,3,3,1.3093,10,1,1071.33,1,7,42.39,48.67,39,34.2,93
buggy,buggy,buggy,buggy,2,11,99,4.07836,854,5808,353.38,0,6,41.32,0.33,40,29.22,35
buggy,buggy,buggy,buggy,3,8,10,2.13758,180,218,492.5,1,7,136.27,14.7,100,80.33,144
clean,clean,clean,clean,2,3,3,1.58496,4,2,535.33,1,7,129.54,49,101,81.33,118
clean,clean,clean,clean,2,5,5,2.13649,31,7,515,1,7,102.64,29.6,102,82.31,120
clean,clean,clean,clean,1,1,1,0,57,13,956,0,6,0.9,28,40,35.11,37
clean,clean,clean,clean,1,1,1,0,57,13,954,0,5,1.84,25,41,36.11,38
buggy,clean,clean,clean,3,3,3,1.1527,94,16,1244.33,1,7,14.32,49.67,41,30.16,73
buggy,buggy,buggy,buggy,1,5,8,1.61929,2334,46,422.88,1,2,1.26,0.88,42,31.15,5
clean,clean,clean,clean,2,3,6,2.56545,8,5,301.5,1,7,106.29,25.17,103,82.59,122
clean,clean,clean,clean,2,4,4,1.55179,20,14,612.5,1,7,71.27,37.75,104,83.59,124
buggy,buggy,buggy,buggy,3,3,3,0.579635,38,1,1048.33,1,7,61.11,50.67,42,36.83,98
clean,clean,clean,clean,1,1,1,0,137,0,0,0,0,0,0,43,37.83,37
clean,clean,clean,clean,1,1,1,0,22,0,0,0,0,0,0,44,38.83,38
